"This is the Strokes Gained charts from ""Every Shot Counts"" by Mark Brodie.  I have added in increments so that it pulled the value from the nearest 5 yards in place of the nearest 20.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DISTANCE,TEE,FAIRWAY,ROUGH,SAND,RECOVERY,,,,,TEE,APPROACH,SHORT,PUTT
,,,,,,,,,,scratch,1.78,2.03,0.39,0.94
,10,,2.20,2.49,2.41,,,,,5,3.31,4.29,0.97,1.42
,15,,2.30,2.54,2.47,,,,,10,3.61,6.11,1.33,2.77
,20,,2.40,2.59,2.53,,,,,15,4.86,8.54,4.46,4.46
,25,,2.45,2.64,2.59,,,,,20,5.75,11.26,4.48,4.48
,30,,2.50,2.69,2.67,,,,,25,7.53,14.23,4.71,4.71
,35,,2.55,2.74,2.76,,,,,,,,,
,40,,2.60,2.78,2.82,,,,,,,,,
,45,,2.62,2.82,2.9,,,,,,,,,
,50,,2.65,2.85,2.98,,,,,,,,,
,55,,2.67,2.88,3.07,,,,,,,,,
,60,,2.70,2.91,3.15,,,DISTANCE,GREEN,,,,,
,65,,2.72,2.92,3.17,,,,,,,,,
,70,,2.73,2.93,3.19,,,,,,,,,
,75,,2.74,2.95,3.22,,,,,,,,,
,80,,2.75,2.96,3.24,,,1,1,,,,,
,85,,2.77,2.97,3.24,,,,,,,,,
,90,,2.78,2.99,3.23,,,,,,,,,
,95,,2.79,3.01,3.23,,,,,,,,,
,100,2.92,2.80,3.02,3.23,3.80,,3,1.04,,,,,
,105,2.93,2.81,3.03,3.23,3.80,,,,,,,,
,110,2.95,2.83,3.04,3.22,3.80,,,,,,,,
,115,2.97,2.84,3.06,3.21,3.80,,,,,,,,
,120,2.99,2.85,3.08,3.21,3.78,,4,1.13,,,,,
,125,2.99,2.86,3.09,3.21,3.78,,,,,,,,
,130,2.97,2.88,3.11,3.21,3.78,,,,,,,,
,135,2.97,2.9,3.13,3.22,3.78,,,,,,,,
,140,2.97,2.91,3.15,3.22,3.8,,5,1.23,,,,,
,145,2.97,2.93,3.17,3.23,3.8,,,,,,,,
,150,2.99,2.95,3.19,3.25,3.8,,,,,,,,
,155,2.99,2.97,3.21,3.26,3.8,,,,,,,,
,160,2.99,2.98,3.23,3.28,3.81,,6,1.34,,,,,
,165,3.01,3,3.25,3.30,3.81,,,,,,,,
,170,3.02,3.03,3.27,3.33,3.81,,,,,,,,
,175,3.04,3.06,3.29,3.36,3.81,,,,,,,,
,180,3.05,3.08,3.31,3.40,3.82,,7,1.42,,,,,
,185,3.07,3.11,3.34,3.43,3.83,,,,,,,,
,190,3.09,3.13,3.37,3.47,3.84,,,,,,,,
,195,3.11,3.16,3.4,3.51,3.86,,,,,,,,
,200,3.12,3.19,3.42,3.55,3.87,,8,1.50,,,,,
,210,3.14,3.26,3.48,3.62,3.89,,,,,,,,
,220,3.17,3.32,3.53,3.70,3.92,,9,1.56,,,,,
,230,3.21,3.39,3.8,3.77,3.95,,,,,,,,
,240,3.25,3.45,3.64,3.84,3.97,,10,1.61,,,,,
,250,3.35,3.52,3.69,3.88,4,,,,,,,,
,260,3.45,3.58,3.74,3.93,4.03,,15,1.78,,,,,
,270,3.55,3.63,3.78,3.96,4.07,,,,,,,,
,280,3.65,3.69,3.83,4.00,4.10,,20,1.87,,,,,
,290,3.68,3.74,3.87,4.02,4.15,,,,,,,,
,300,3.71,3.78,3.90,4.04,4.20,,30,1.98,,,,,
,320,3.79,3.84,3.95,4.12,4.31,,40,2.06,,,,,
,340,3.86,3.88,4.02,4.26,4.44,,50,2.14,,,,,
,360,3.92,3.95,4.11,4.41,4.56,,60,2.21,,,,,
,380,3.96,4.03,4.21,4.55,4.66,,90,2.40,,,,,
,400,3.99,4.11,4.30,4.69,4.75,,,,,,,,
,420,4.02,4.15,4.34,4.73,4.79,,,,,,,,
,440,4.08,4.20,4.39,4.78,4.84,,,,,,,,
,460,4.17,4.29,4.48,4.87,4.93,,,,,,,,
,480,4.28,4.40,4.59,4.98,5.04,,,,,,,,
,500,4.41,4.53,4.72,5.11,5.17,,,,,,,,
,520,4.54,4.85,4.85,5.24,5.30,,,,,,,,
,540,4.65,4.97,4.97,5.36,5.42,,,,,,,,
,560,4.74,5.05,5.05,5.44,5.50,,,,,,,,
,580,4.79,5.10,5.10,5.49,5.55,,,,,,,,
,600,4.82,5.13,5.13,5.52,5.58,,,,,,,,
